,zz500
2014-01-07 09:46:00,3715.43
2014-01-07 09:47:00,3714.72
2014-01-07 09:48:00,3712.88
2014-01-07 09:49:00,3712.12
2014-01-07 09:50:00,3712.86
2014-01-07 09:51:00,3713.35
2014-01-07 09:52:00,3713.55
2014-01-07 09:53:00,3712.99
2014-01-07 09:54:00,3711.05
2014-01-07 09:55:00,3708.7
2014-01-07 09:56:00,3707.61
2014-01-07 09:57:00,3704.83
2014-01-07 09:58:00,3702.34
2014-01-07 09:59:00,3700.33
2014-01-07 10:00:00,3699.4
2014-01-07 10:01:00,3700.29
2014-01-07 10:02:00,3701.8
2014-01-07 10:03:00,3703.08
2014-01-07 10:04:00,3703.82
2014-01-07 10:05:00,3704.98
2014-01-07 10:06:00,3705.27
2014-01-07 10:07:00,3705.31
2014-01-07 10:08:00,3705.62
2014-01-07 10:09:00,3705.83
2014-01-07 10:10:00,3706.13
2014-01-07 10:11:00,3706.73
2014-01-07 10:12:00,3707.74
2014-01-07 10:13:00,3708.84
2014-01-07 10:14:00,3709.88
2014-01-07 10:15:00,3709.86
2014-01-07 10:16:00,3710.56
2014-01-07 10:17:00,3709.26
2014-01-07 10:18:00,3708.43
2014-01-07 10:19:00,3708.5
2014-01-07 10:20:00,3709.03
2014-01-07 10:21:00,3709.55
2014-01-07 10:22:00,3709.53
2014-01-07 10:23:00,3710.6
2014-01-07 10:24:00,3711.4
2014-01-07 10:25:00,3712.98
2014-01-07 10:26:00,3715.28
2014-01-07 10:27:00,3717.08
2014-01-07 10:28:00,3717.85
2014-01-07 10:29:00,3718.35
2014-01-07 10:30:00,3719.49
2014-01-07 10:31:00,3720.14
2014-01-07 10:32:00,3721.91
2014-01-07 10:33:00,3723.2
2014-01-07 10:34:00,3723.01
2014-01-07 10:35:00,3723.6
2014-01-07 10:36:00,3724.16
2014-01-07 10:37:00,3726.42
2014-01-07 10:38:00,3728.0
